,pn,description,actual_stock,ideal_stock,station,del_time,buy_freq,purchasing_method,min,max
0,BACR13CE2,Relay,3.0000,0,KEF,27,10,low_sale,0,0
1,BACS53B1ES1,Stud,73.0000,0,KEF,12,10,low_sale,0,0
2,29685-20629,Cone    Cone-Bearing,7.0000,0,KEF,42,10,low_sale,0,0
3,BACB30NN4K5,Bolt,466.0000,0,KEF,43,100,low_sale,0,0
4,W0242-006S,"Washer  Spring,Tensi0n",135.0000,0,KEF,12,100,low_sale,0,0
5,BACP18BC04A12P,Pin,444.0000,0,KEF,17,100,low_sale,0,0
6,NAS1149D0316K,Washer,2830.0000,0,KEF,12,100,low_sale,0,0
7,4812-174-20,Drive   Drive Shaft Assy,6.0000,0,KEF,43,10,low_sale,0,0
8,4551,Lamp Light Instl  Taxi  Ng,61.0000,0,KEF,28,10,low_sale,0,0
9,BACS12CK3-10,Screw,291.0000,0,KEF,16,10,low_sale,0,0
10,P629,"Tape For Cargo, 4 Inch",36.0000,0,KEF,67,10,low_sale,0,0
11,AN3-5A,Bolt,1833.0000,0,KEF,30,100,low_sale,0,0
12,16302-006,Gasket Gasket-Sensor,26.0000,0,KEF,27,10,low_sale,0,0
13,BACP18BC02A06P,Pin,475.0000,0,KEF,27,100,low_sale,0,0
14,NAS1587-4C,Washer  0pen Latch Indicat0r,48.0000,0,KEF,21,100,low_sale,0,0
15,BACN10YR3C,Nut,41.0000,0,KEF,20,100,low_sale,0,0
16,BACB30NN4K4,Bolt,359.0000,0,KEF,9,100,low_sale,0,0
17,MS21043-3,Nut     Nut-Self Locking,512.0000,0,KEF,41,10,low_sale,0,0
18,KB27130,"Seal    Sealing,T0rr0idal",5.0000,0,KEF,21,10,low_sale,0,0
19,BACC30M10,Collar,332.0000,0,KEF,12,100,low_sale,0,0
20,D38999-26FA98SN,Connector,6.0000,0,KEF,12,10,low_sale,0,0
21,287T0011-4,Clamp,15.0000,0,KEF,9,10,low_sale,0,0
22,Q4631,Lamp Lamp-13v 250w Ds1,95.0000,0,KEF,22,10,low_sale,0,0
23,NAS1611-220A,Packing,12.0000,0,KEF,11,100,low_sale,0,0
24,BACB30MY8K5,Bolt,68.0000,0,KEF,11,100,low_sale,0,0
25,AS3582-140,Packing,5.0000,0,KEF,12,10,low_sale,0,0
26,BACC10GU104,Clamp,8.0000,0,KEF,6,100,low_sale,0,0
27,SL2334-3A3,Insert,396.0000,0,KEF,24,100,low_sale,0,0
28,NAS1291C08M,Nut,404.0000,0,KEF,18,100,low_sale,0,0
29,7513128,Element Filter,0.0000,0,KEF,14,10,low_sale,0,0
30,MM4001-3C1,Clip Nuts,1685.0000,0,KEF,34,100,low_sale,0,0
31,ENV0SEAL,OMEGA II SEAL,8003.0000,0,KEF,2,100,low_sale,0,0
32,NAS1352N08H10P,Screw,38.0000,0,KEF,31,10,low_sale,0,0
33,113-133,"Guide, Spring",105.0000,0,KEF,34,10,low_sale,0,0
34,11-6537-7,Circuit Card Assembly (Esds),6.0000,0,KEF,8,10,low_sale,0,0
35,PLT3IM,STRAP   290MM 1000EA,5348.0000,0,KEF,38,100,low_sale,0,0
36,BACB30MY8K6,Bolt,40.0000,0,KEF,10,100,low_sale,0,0
37,16335,Base Discharger Rudder,9.0000,0,KEF,17,10,low_sale,0,0
38,0LN115-18K,Lamp    Electrical,50.0000,0,KEF,30,10,low_sale,0,0
39,ATRIX,Handcreme 200.Ml,46.0000,0,KEF,10,10,low_sale,0,0
40,BACR15FV6KE4,Rivet,13.0000,0,KEF,8,10,low_sale,0,0
41,48-7191,Receptcl Receptacle,18.0000,0,KEF,11,10,low_sale,0,0
42,4309197,Screw Screw-Captive.,22.0000,0,KEF,19,10,low_sale,0,0
43,47179,"Filter Air, Compressor Instl- Passenger Water System",5.0000,0,KEF,21,10,low_sale,0,0
44,BACB30NN4K10,Bolt,195.0000,0,KEF,8,100,low_sale,0,0
45,720752-33,Packing Packing-Preformed,62.0000,0,KEF,19,10,low_sale,0,0
46,NAS1149D0316H,Washer,3763.0000,0,KEF,12,100,low_sale,0,0
47,15-0188-7,Light Ay Ceiling  Cargo Lwr Lobe,5.0000,0,KEF,56,10,low_sale,0,0
48,319K28-1,"Tyre, H31x9.75-13",25.0000,0,KEF,40,10,low_sale,0,0
49,BACT12AC8,Terminal,140.0000,0,KEF,11,100,low_sale,0,0
50,CC55786,Bearing Roller  Outbd Closure Rib Outbd Main Flap,4.0000,0,KEF,9,10,low_sale,0,0
51,BSH10280L,BRUSH   TIN HANDLE ACID BRUSH,2000.0000,0,KEF,18,100,low_sale,0,0
52,NAS1805-7P,Nut,9.0000,0,KEF,10,10,low_sale,0,0
53,130-18,Ball    Add Info,126.0000,0,KEF,69,10,low_sale,0,0
54,14300-139,Boot    Boot-Bellows,8.0000,0,KEF,43,10,low_sale,0,0
