,pn,est_deliv_date,est_deliv_qty
0,CIET20-11,2023-12-19,100.0
1,CTA-1160,2023-12-19,106.0
2,PLD3111053-01-6,2023-12-19,4.0
3,PLD3111053-01-7,2023-12-19,4.0
4,0000565,2023-12-20,100.0
5,00-5100-41,2023-12-20,2.0
6,03-7300-1001,2023-12-20,1.0
7,06-5060-16,2023-12-20,7.0
8,107175,2023-12-20,2000.0
9,114T2701-4,2023-12-20,2.0
10,115E9759G1,2023-12-20,1.0
11,1196634-001,2023-12-20,2.0
12,120-102700-101,2023-12-20,2.0
13,120-102720-101,2023-12-20,2.0
14,122-11124-1A,2023-12-20,18.0
15,1236331-012,2023-12-20,2.0
16,1244523,2023-12-20,2.0
17,1244632,2023-12-20,2.0
18,1253961-012,2023-12-20,2.0
19,1254421,2023-12-20,2.0
20,1315-13,2023-12-20,1.0
21,1379626,2023-12-20,23.0
22,141N7820-20,2023-12-20,1.0
23,148N3214-8,2023-12-20,1.0
24,163A3001-2,2023-12-20,1.0
25,170-264,2023-12-20,48.0
26,1A296-0217HS,2023-12-20,3.0
27,1L400401-219,2023-12-20,2.0
28,2041444-0401,2023-12-20,1.0
29,2100-4945-22,2023-12-20,1.0
30,2202-1-121-2251,2023-12-20,93.0
31,242057-3,2023-12-20,1.0
32,260-747,2023-12-20,15.0
33,266-285,2023-12-20,1.0
34,266-340,2023-12-20,20.0
35,271N6311-1151,2023-12-20,1.0
36,28301-12,2023-12-20,10.0
37,284A6003-19,2023-12-20,11.0
38,289-601-248,2023-12-20,280.0
39,29-014-3006,2023-12-20,1.0
40,29685-20629,2023-12-20,15.0
41,2D7008-11DFW,2023-12-20,3.0
42,300-881,2023-12-20,4.0
43,315205400025,2023-12-20,80.0
44,315205500025,2023-12-20,80.0
45,315205700025,2023-12-20,160.0
46,315206000025,2023-12-20,80.0
47,315206100025,2023-12-20,80.0
48,315261900025,2023-12-20,4.0
49,315262000025,2023-12-20,4.0
50,315262500025,2023-12-20,16.0
51,319C359F00G9,2023-12-20,80.0
52,378-256,2023-12-20,60.0
53,38FA602,2023-12-20,10.0
54,39-188,2023-12-20,5.0
55,398FR,2023-12-20,72.0
56,4100170-045-01,2023-12-20,200.0
57,4-460,2023-12-20,10.0
58,44A256-2,2023-12-20,1.0
59,4540-020158-03K,2023-12-20,1000.0
60,455T1111-1,2023-12-20,1.0
61,501574-1,2023-12-20,3.0
62,502761-401-2258,2023-12-20,97.0
63,56404151-3,2023-12-20,1.0
64,600120-1,2023-12-20,1.0
65,6023100-2,2023-12-20,1.0
66,63-533,2023-12-20,750.0
67,65C33095-5,2023-12-20,50.0
68,68-1478,2023-12-20,20.0
69,68PCHAT,2023-12-20,3.0
70,69-78214-4,2023-12-20,1.0
71,69B60597-4,2023-12-20,1.0
72,701-0691-01-0052B,2023-12-20,1.0
73,78001-496,2023-12-20,1.0
74,7829996,2023-12-20,1.0
75,78374-2,2023-12-20,1.0
76,8102-0401,2023-12-20,2.0
77,822-2130-001,2023-12-20,1.0
78,830100-2,2023-12-20,1.0
79,940CW27-6,2023-12-20,6.0
80,9578,2023-12-20,1.0
81,980-4700-042,2023-12-20,1.0
82,9858,2023-12-20,1.0
83,989803139251,2023-12-20,1.0
84,ACICC00293-764,2023-12-20,150.0
85,AN4-5A,2023-12-20,100.0
86,AN960JD10,2023-12-20,1500.0
87,AS115-06K0560,2023-12-20,1.0
88,BAC27XSTN3101,2023-12-20,6.0
89,BACB30NN4K3,2023-12-20,500.0
90,BACC63BV14B15SN,2023-12-20,1.0
91,BC23,2023-12-20,1.0
92,C27090-1,2023-12-20,1.0
93,C28-15,2023-12-20,160.0
94,C2F183M96,2023-12-20,50.0
95,C78040-1,2023-12-20,1.0
96,CD01068F4,2023-12-20,25.0
97,CG1305AB,2023-12-20,22.0
98,CWR451-4001-01,2023-12-20,1.0
99,D0CUMENT,2023-12-20,1.0
100,DOCUMENT,2023-12-20,1.0
101,E05805001011525,2023-12-20,100.0
102,E71-308-01,2023-12-20,10.0
103,EA934NA,2023-12-20,2.0
104,EQ5F573-4002,2023-12-20,50.0
105,GA31538,2023-12-20,10.0
106,GRAY1994-7,2023-12-20,1000.0
107,H7613-53,2023-12-20,24.0
108,ICE010124-00,2023-12-20,50.0
109,ICE010124-50,2023-12-20,50.0
110,J32108-16,2023-12-20,1.0
111,K30B12,2023-12-20,100.0
112,K30B18,2023-12-20,200.0
113,LJ33147,2023-12-20,1.0
114,LJ76185,2023-12-20,2.0
115,M15501,2023-12-20,6.0
116,M21202,2023-12-20,11.0
117,M31400,2023-12-20,12.0
118,MS24665-306,2023-12-20,100.0
119,MVIQAP4030,2023-12-20,1.0
120,MVIQCSYS3-WS,2023-12-20,1.0
121,MVIQHP6130,2023-12-20,1.0
122,MW 4933479867,2023-12-20,3.0
123,N30A28,2023-12-20,10.0
124,N5000-150H,2023-12-20,300.0
125,NAS1352C06-6,2023-12-20,20.0
126,P629-3,2023-12-20,72.0
127,PSD3251039-01,2023-12-20,3.0
128,QA07601,2023-12-20,1.0
129,R14,2023-12-20,204.0
130,S009607,2023-12-20,100.0
131,S010346,2023-12-20,100.0
132,S4933959-507,2023-12-20,9.0
133,S67-2002-18,2023-12-20,3.0
134,SC1L500035-3,2023-12-20,4.0
135,SG035617,2023-12-20,4.0
136,T40115FN,2023-12-20,1.0
137,T40120SF,2023-12-20,1.0
138,TFE2X,2023-12-20,10.0
139,TM405555SG,2023-12-20,1.0
140,TR-113,2023-12-20,0.19999999999999973
