,item_number,consumption_date,qty
0,654T0035-23,2020-12-20,1.0
1,AS3208-05,2020-12-20,1.0
2,CH34743,2020-12-20,1.0
3,241076,2020-12-21,6.0
4,2602195,2020-12-21,6.0
5,28301-12,2020-12-21,12.0
6,285N0412-1,2020-12-21,-1.0
7,289-601-248,2020-12-21,12.0
8,301-1-4HARD032,2020-12-21,1.0
9,44066WE,2020-12-21,6.0
10,592XS2-629,2020-12-21,1.0
11,65C33095-5,2020-12-21,2.0
12,68-1448,2020-12-21,15.0
13,68-269,2020-12-21,6.0
14,720752-14WE,2020-12-21,1.0
15,856504-2,2020-12-21,1.0
16,AC21-50,2020-12-21,-1.0
17,ACIFL00105-764,2020-12-21,16.0
18,ACIFL00347-764,2020-12-21,16.0
19,AS3208-02,2020-12-21,1.0
20,AS3209-009,2020-12-21,4.0
21,AS3582-028,2020-12-21,-6.0
22,AS43003-908,2020-12-21,3.0
23,BAC27NCT0176,2020-12-21,-1.0
24,BACB30NY6K7X,2020-12-21,6.0
25,BACC30M6,2020-12-21,12.0
26,BACR13CF2A,2020-12-21,1.0
27,BACR15BA6AD11C,2020-12-21,50.0
28,BACR15BA6AD8C,2020-12-21,3.0
29,CB200-40,2020-12-21,1.0
30,CB6009CR3-1P,2020-12-21,8.0
31,J221P905,2020-12-21,-1.0
32,LJ75995,2020-12-21,0.0
33,LM718910-20629,2020-12-21,1.0
34,M83248-1-011,2020-12-21,4.0
35,NAS1303-4,2020-12-21,2.0
36,NAS1801-3-9,2020-12-21,1.0
37,NAS8702-2,2020-12-21,10.0
38,PLH55CD,2020-12-21,-8.0
39,RTV106,2020-12-21,4.0
40,S8990-608,2020-12-21,1.0
41,TR-RG6,2020-12-21,6.0
42,024257-000,2020-12-22,1.0
43,0LN115-18K,2020-12-22,2.0
44,10-60754-1,2020-12-22,5.0
45,10-60754-2,2020-12-22,-8.0
46,107175,2020-12-22,200.0
47,11-10638,2020-12-22,1.0
48,149N6016-36,2020-12-22,2.0
49,170-204,2020-12-22,8.0
50,327,2020-12-22,12.0
51,48-1825-02,2020-12-22,30.0
52,654T0035-23,2020-12-22,1.0
53,7586649,2020-12-22,2.0
