,id,item_number,description,vendor_name,stock_units,inventory_value,unit_cost,del_time,order_frequency_days,qty_unit_cd,inv_class_cd,service_level,purchasing_method,min,max,comment,movement_last_year,usage_last_year,movement_two_year,usage_two_year,movement_three_year,usage_three_year
0,17,108-2,Carpet Tape,"Boeing Distribution, Inc (Aviall)",254.0000,4826.000000,19.00,37,10.0,RL,BATCH,,,,,AOG,70,642,68,544,42,420
1,42,113-195,Spring  -Guide,Goodrich Corporation,30.0000,7170.000000,239.00,150,10.0,EA,BATCH,,min-max,7.0,7.0,757-300 break,3,18,2,8,2,9
2,73,08-8020-8888,"Cable Assembly, Crew Panel, Maintenance Port, Plug",Safran Passenger Innovations,7.0000,5670.000000,810.00,168,10.0,EA,BATCH,,,,,,5,5,3,3,4,4
3,74,100806-1,Keypad,"The Boeing Comp, Spare Dist Cent",1.0000,44.000000,44.00,10,10.0,EA,BATCH,,,,,,10,8,1,1,5,10
4,94,00083-002,Canister Canister-Filter,Satair A/S,2.0000,547.333340,273.67,19,10.0,EA,BATCH,,,,,C-CHECK 23-24,2,4,2,4,3,6
5,138,1015597,Seal,Rolls-Royce Aero Repair & Overhaul (UK),35.0000,3937.500000,112.50,14,10.0,EA,BATCH,,,16.0,32.0,,6,22,6,16,6,32
6,140,10-60754-36,Seal,"Proponent , INC. (Kapco)",13.0000,149.500000,11.50,19,10.0,FT,BATCH,,,,,,4,12,1,-2,5,7
7,156,102STDW,Lens,"The Boeing Comp, Spare Dist Cent",28.0000,140.000000,5.00,15,10.0,EA,BATCH,,,,,,3,5,6,27,2,10
8,163,0-132-004600000,Catch,Satair A/S,2.0000,564.000000,282.00,28,10.0,EA,BATCH,,,,,,1,1,6,5,0,0
9,230,1123804-114,Cable,Astronics Adv Electronic Systems,6.0000,3120.000000,520.00,102,10.0,EA,BATCH,,,,,,4,0,2,-5,2,0
10,242,00-5320-01,"Display Docking Station 4 (DDS4), 10.1 Inch",Safran Passenger Innovations,7.0000,2800.000000,400.00,201,10.0,EA,BATCH,,,,,,2,4,4,0,2,2
11,265,10-61978BCTE,Dec Lam,"The Boeing Comp, Spare Dist Cent",11.0000,5973.000000,543.00,23,10.0,EA,BATCH,,,,,,1,1,6,6,2,2
12,288,107175,"Battery Aaa, Varta Longlife Extra",Fossberg ehf.,1000.0000,500.000000,0.50,9,100.0,EA,BATCH,,,,,,22,6100,26,6568,26,5432
13,329,08-8009-17,"Cable Assembly, Seat to Seat, SPB4 to SPU3 (RAVE3)",Safran Passenger Innovations,6.0000,2940.000000,490.00,175,10.0,EA,BATCH,,,,,,5,10,3,6,3,6
14,332,10-60754-278,Seal,"Proponent , INC. (Kapco)",17.0000,544.000000,32.00,11,10.0,FT,BATCH,,,,,,1,1,3,6,3,16
15,347,00090-001,Gstkrns Gasket-Rinse System,"Boeing Distribution, Inc (Aviall)",15.0000,45.000000,3.00,93,10.0,EA,BATCH,,,,,,2,4,6,4,2,4
16,393,10-60754-1,Seal,"Proponent , INC. (Kapco)",20.0000,470.000000,23.50,52,10.0,FT,BATCH,,,,,,1,3,7,35,7,37
17,443,1123804-90,CABLE ASSEMBLY CABIN INTERCONNECT,Astronics Adv Electronic Systems,32.0000,14272.000000,446.00,105,10.0,EA,BATCH,,,,,,5,1,2,-4,0,0
18,460,033527,O-Ring,"The Boeing Comp, Spare Dist Cent",20.0000,360.000000,18.00,38,10.0,EA,BATCH,,,,,,18,15,10,-4,9,16
19,469,112N6004-1,DOOR ASSY,Avtrade (UK) Ltd.,1.0000,1500.000000,1500.00,107,10.0,EA,BATCH,,min-max,1.0,1.0,,0,0,0,0,0,0
20,485,10-60754-319,Seal,Wencor West,39.0000,1248.000000,32.00,25,10.0,FT,BATCH,,,,,,4,12,2,15,4,29
21,518,1132,Touch-N-Prep,Aerospheres (UK) Ltd.,24.0000,2544.000000,106.00,33,10.0,EA,BATCH,,,,,,35,78,44,92,36,87
22,524,024257-000,CELL,"Boeing Distribution, Inc (Aviall)",71.0000,44659.000000,629.00,84,10.0,EA,BATCH,,,40.0,50.0,,2,5,1,4,10,123
23,529,08-8000-20,"Cable Assembly, Seat to Seat, AC and Data (RAVE3)",Safran Passenger Innovations,26.0000,12844.000000,494.00,183,10.0,EA,BATCH,,,,,,5,33,3,24,4,23
24,559,0A090-0511CM,Cushion Cushion-Back,"The Boeing Comp, Spare Dist Cent",8.0000,4200.000000,525.00,30,10.0,EA,BATCH,,min-max,6.0,8.0,,1,2,0,0,1,2
25,562,10-1004-7,Sign Panel Ay  Psu  Symbolic,Jet Midwest,2.0000,2408.000000,1204.00,33,10.0,EA,BATCH,,min-max,1.0,2.0,,4,0,3,3,6,8
26,573,08-6212-1815,"Cable Assembly, FDB, Disc to Seat Disc, SPB4",Safran Passenger Innovations,6.0000,5592.000000,932.00,199,10.0,EA,BATCH,,,,,,4,8,5,7,3,6
27,648,10-60754-84,SEAL,"Proponent , INC. (Kapco)",10.0000,120.000000,12.00,10,10.0,FT,BATCH,,,,,,4,22,0,0,3,11
28,659,05-0007-00,PCB ASSY HEADPHONE JACK RDU,Safran Passenger Innovations,89.0000,2403.000000,27.00,214,10.0,EA,BATCH,,,,,,2,11,7,1,2,9
29,685,10237-1,Collar  Cb Panel - Red,"The Boeing Comp, Spare Dist Cent",18.0000,90.000000,5.00,27,10.0,EA,BATCH,,,,,,19,66,6,14,12,72
30,711,10-630390-3,Plug,"The Boeing Comp, Spare Dist Cent",2.0000,978.000000,489.00,13,10.0,EA,BATCH,,,,,,4,2,1,1,4,2
31,718,032756,RING,"Boeing Distribution, Inc (Aviall)",4.0000,44.000000,11.00,11,10.0,EA,BATCH,,,,,,23,40,9,11,0,0
32,765,025-050-12,Seal,STS Component Solutions,74.0000,259.000000,3.50,42,10.0,EA,BATCH,,,,,,9,42,10,41,7,47
33,774,11-10638,Element,"Proponent , INC. (Kapco)",7.0000,924.000000,132.00,32,10.0,EA,BATCH,,,10.0,30.0,,32,28,38,38,32,36
34,782,08-6212-2112,"Cable Assembly, FDB, Disc to Seat Disc, SPB4",Safran Passenger Innovations,5.0000,4660.000000,932.00,196,10.0,EA,BATCH,,,,,,4,8,3,6,3,6
35,846,01593-021,NOZZLE - ROTATING RINSE,Satair A/S,8.0000,3936.000000,492.00,14,10.0,EA,BATCH,,min-max,4.0,8.0,,2,4,0,0,2,0
36,847,020-003-183,CORD,"Boeing Distribution, Inc (Aviall)",4.0000,1036.000000,259.00,78,10.0,EA,BATCH,,,,,,4,4,6,4,3,3
37,859,1123804-144,Cable,USE 3E2Y8 Astronics Advanced Elect Syst,5.0000,2310.000000,462.00,102,10.0,EA,BATCH,,,,,,3,1,4,-1,4,0
38,872,102STDWLUC,Lens,Wencor West,0.0000,0.000000,4.00,29,10.0,EA,BATCH,,,,,,6,36,6,27,6,37
39,902,08-8007-17,"Cable Assembly, Seat to Seat Data (RAVE3)",Safran Passenger Innovations,4.0000,1960.000000,490.00,190,10.0,EA,BATCH,,,,,,5,9,4,7,3,6
40,922,121-11507-1D,Pane Inner Pane,LEKI Aviation,345.0000,12534.998850,36.33,56,10.0,EA,BATCH,,,,,,4,7,7,148,2,7
41,948,001037,Paper Roll,"ESSO, Olíufélagið h.f.",73.0000,3723.000000,51.00,6,10.0,RL,BATCH,,,40.0,100.0,,11,259,13,280,10,237
42,956,123-2222F,Clamp Control Panel Assy Fueling System,"The Boeing Comp, Spare Dist Cent",6.0000,519.000000,86.50,15,10.0,EA,BATCH,,,,,,1,1,3,9,3,5
43,965,0A090-0649,Cushion Cushion-Pan,"Boeing Distribution, Inc (Aviall)",2.0000,628.000000,314.00,23,10.0,EA,BATCH,,,,,,1,2,0,0,7,12
44,985,121-11534-1A,Ring,Magee Plastics Company,127.0000,11493.500000,90.50,56,10.0,EA,BATCH,,,,,,6,37,9,105,2,2
45,1010,14300-139,Boot    Boot-Bellows,Monogram Systems,14.0000,840.000000,60.00,58,10.0,EA,BATCH,,,,,,10,20,4,10,6,28
46,1020,10-60754-79,Seal    Fairing-Ving,"Proponent , INC. (Kapco)",50.0000,800.000000,16.00,20,10.0,FT,BATCH,,,,,,3,24,7,59,20,229
47,1028,020-001-847,CORD,"Boeing Distribution, Inc (Aviall)",3.0000,825.000000,275.00,14,10.0,EA,BATCH,,,,,,3,3,4,4,3,3
48,1047,113N1832-4,Plug Plug  Mtg Bolt  Fwd Mlg Trunnion Fairing,"The Boeing Comp, Spare Dist Cent",5.0000,280.000000,56.00,14,10.0,EA,BATCH,,,,,,1,2,5,7,4,7
49,1066,00-5065-01,"Bulkhead Shroud, RDU2/DDS4, 11.6 Inch",Safran Passenger Innovations,2.0000,570.000000,285.00,194,10.0,EA,BATCH,,,,,,4,2,3,3,4,4
50,1072,122555-5,Screw   Csk Hd,Boeing Distribution Services INC. (KLX),23.0000,437.000000,19.00,496,10.0,EA,BATCH,,min-max,10.0,20.0,Req Chalida / TS-41792,2,5,0,0,0,0
51,1081,08-6212-1812,"Cable Assembly, FDB, Disc to Seat Disc, SPB4",Safran Passenger Innovations,6.0000,5592.000000,932.00,191,10.0,EA,BATCH,,,,,,5,9,5,6,4,7
52,1108,10-60754-2,Seal,"Proponent , INC. (Kapco)",30.0000,367.500000,12.25,45,10.0,FT,BATCH,,,,,,2,7,4,14,6,4
53,1129,00-3007-00,"SDXC CARD 256GB, IMS SFE UNLABELED FOR RDU USE",Safran Aerosystems Services,186.0000,38502.000000,207.00,326,10.0,EA,BATCH,,,,,,3,16,1,14,3,10
